n,lambda_n,lambda_n_over_n
1,0.0230957089661210338143102479065,0.0230957089661210338143102479065
2,0.0923457352280466703857284861921,0.0461728676140233351928642430961
3,0.207638920554324803791492046618,0.0692129735181082679304973488726
4,0.368790479492241638590511489638,0.0921976198730604096476278724095
5,0.575542714461177452431106405493,0.115108542892235490486221281099
6,0.827566012282379297425002822021,0.137927668713729882904167137003
7,1.12446011757095949058282010802,0.160637159652994212940402872574
8,1.46575567714706063265551454198,0.183219459643382579081939317747
9,1.85091604838253415532604486792,0.205657338709170461702893874213
10,2.27933936319315774369303405737,0.227933936319315774369303405737
11,2.75036083822019606035454709285,0.250032803474563278214049735714
12,3.26325532062461984807908598991,0.271937943385384987339923832493
13,3.81724005784794598710436795129,0.293633850603688152854182150099
14,4.41147767868059851208064129686,0.315105548477185608005760092633
15,5.04507937202679345853511143754,0.336338624801786230569007429169
16,5.71710824886879263941906666985,0.357319265554299539963691666865
17,6.42658287211720290114554096094,0.378034286595129582420325938879
18,7.17248093829172295925297072632,0.398471163238429053291831707018
19,7.95374309431190030480822507789,0.4186180575953631739372750041
20,8.76927687209321512959946135345,0.438463843604660756479973067672
21,9.61796072314291898236139613985,0.457998129673472332493399816183
22,10.4986481349348746970875628714,0.477211278860676122594889221428
23,11.4101718105151008409117857854,0.496094426544134819170077642845
24,12.351347892551317017034057688,0.514639495522971542376419070335
25,13.3209802128915757999433578818,0.532839208515663031997734315271
26,14.3178645486396692711037570121,0.550687098024602664273221423541
27,15.3407928657885830389175335614,0.5681775135477252977376864282
28,16.3885575315775611960869430797,0.585305626127770042717390824274
29,17.4599554769526193644593087507,0.602067430239745495326183060368
30,18.5537922908134356231346758148,0.618459743027114520771155860493
31,19.6688862281198608711003255942,0.63448020090709228616452663207
32,20.8040721144067936954542434445,0.65012725357521230298294510764
33,21.9582051298144155213668430189,0.665400155448921682465661909663
34,23.1301644563789302386114120571,0.680298954599380301135629766386
35,24.3188567730437586142301918432,0.69482447922982167469229119552
36,25.5232195836389873291810398505,0.708978321767749648032806662514
37,26.7422243639337950045026654663,0.722762820646859324446017985575
38,27.9748795147882664589944370729,0.736181039862849117341958870339
39,29.2202331094128403357391017977,0.749236746395201034249720558916
40,30.4773754237807012515449598899,0.761934385594517531288623997247
41,31.7454412403255458470503184012,0.774279054642086484074398009786
42,33.0236119161889014809774662945,0.786276474194973844785177768917
43,34.311117208451921658302447986,0.797932958336091201355870883396
44,35.6072368499905024561323536609,0.809255382954329601275735310476
45,36.9113018708236810857598252265,0.820251152684970690794662782811
46,38.2226956610774859868568330688,0.830928166545162738844713762365
47,39.5408547729535053830258563846,0.841294782403266071979273540099
48,40.8652694603671600084821574264,0.851359780424315833510044946383
49,42.1954839561987029736869807207,0.861132325636708223952795524912
50,43.5310964883740192989519699849,0.870621929767480385979039399697
51,44.8717590372560812678223053309,0.879838412495217279761221673155
52,46.2171768380752143091587724561,0.888791862270677198253053316464
53,47.5671076333510124656767918709,0.897492596855679480484467771148
54,48.9213606814548038946590431511,0.905951123730644516567760058354
55,50.2797955286231466998655825455,0.91417810052042084908846513719
